"","标注","旋回顶深","旋回底深","符号","旋回厚度","偏移","累积偏移","旋回数","层位"
"129","L144_794",2333.5,2349.7,"正旋回",16.1999999999998,1.92899999999982,-0.909999999999826,10,"A"
"130","L144_795",2349.7,2369.2,"正旋回",19.5,5.229,-2.83899999999964,9,"A"
"131","正旋回",2369.2,2390,"正旋回",20.8000000000002,6.52900000000018,-8.06799999999964,8,"A"
"132","L144_799",2390,2399.5,"正旋回",9.5,-4.771,-14.5969999999998,7,"A"
"133","L144_800",2399.5,2411.2,"正旋回",11.6999999999998,-2.57100000000018,-9.82599999999982,6,"A"
"134","L144_801",2411.2,2419.8,"反旋回",8.60000000000036,-5.67099999999964,-7.25499999999964,5,"A"
"135","L144_802",2419.8,2434.8,"反旋回",15,0.728999999999999,-1.584,4,"A"
"136","L144_803",2434.8,2440.9,"正旋回",6.09999999999991,-8.17100000000009,-2.313,3,"A"
"137","L144_804",2440.9,2454.1,"反旋回",13.1999999999998,-1.07100000000018,5.85800000000009,2,"A"
"138","L144_805",2454.1,2475.3,"正旋回",21.2000000000003,6.92900000000027,6.92900000000027,1,"A"
